
 Lista de Imóveis da Caixa;;Data de geração:;26/07/2024;;;;;;;
 8555535716039 ;SP ;AMERICANA ;CARIOBA ;RUA SAO SEBASTIAO, N. 845, Apto 144A, 14 ANDAR BL A ;227.000,00;227.000,00;0.00;Apartamento, 64.74 de área total, 0.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555535716039
 8787705580214 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 204, BL 25 ;180.151,39;180.151,39;0.00;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705580214
 8555538363269 ;SP ;AMERICANA ;VILA AMORIM ;AVENIDA PADRE OSWALDO VIEIRA DE ANDRADE, N. 1185, Apto 402, BL 34 GARAGEM 898 ;200.000,00;200.000,00;0.00;Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538363269
 8555527515763 ;SP ;AMERICANA ;PARQUE RESIDENCIAL JAGUARI ;RUA DALVA DE OLIVEIRA, N. 188, Apto R9, 0 ;165.500,00;165.500,00;0.00;Apartamento, 0.00 de área total, 56.33 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555527515763
 8444412752248 ;SP ;AMERICANA ;PARQUE SAO JERONIMO ;RUA JULIO JUSTI, N. 766, Apto 23, . ;232.034,42;232.034,42;0.00;Apartamento, 0.00 de área total, 64.69 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412752248
 8787704204766 ;SP ;AMERICANA ;PARQUE SAO JERONIMO ;RUA RIO CANINDE, N. 55, Apto 11, PV 01   BL I ;160.000,00;160.000,00;0.00;Apartamento, 0.00 de área total, 49.03 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704204766
 1555512412892 ;SP ;AMERICANA ;CIDADE JARDIM II ;RUA DAS VIOLETAS, N. 520, Apto 11, . ;339.389,00;339.389,00;0.00;Apartamento, 0.00 de área total, 97.99 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, WC Emp, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555512412892
 8444419294032 ;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 201, BL 28 ;179.388,00;179.388,00;0.00;Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419294032
 8555537739885 ;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 206, BL 17 ;189.000,00;189.000,00;0.00;Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555537739885
 8555538092524 ;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 205, BL 17 ;168.011,51;165.000,00;0.00;Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538092524
 8555536414630 ;SP ;AMERICANA ;RESIDENCIAL PRAIA DOS NAMORADOS ;AVENIDA ANTONIO CENTURIONE BOER, N. 540, Apto 183, BL 02 ;200.885,07;196.000,00;0.00;Apartamento, 0.00 de área total, 51.75 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555536414630
 8787706800382 ;SP ;AMERICANA ;FAZENDA SAO DOMINGOS ;AVENIDA SAO JERONIMO, N. 2750, Apto 202, BL 15 GB A3B BOX 784 ;175.955,70;169.000,00;0.00;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706800382
 8787703947366 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 401, BL 23 GL A3B ;175.934,69;167.800,00;0.00;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703947366
 1444405293332 ;SP ;AMERICANA ;VILA GALO ;AVENIDA MARGINAL, N. 1221, Apto 11, . ;228.655,46;218.000,00;0.00;Apartamento, 0.00 de área total, 52.85 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405293332
 8555526353182 ;SP ;AMERICANA ;VILA DAINESE ;RUA JOSE ZANETTI, N. 97, Apto 1202, BL 01 ;207.620,54;188.000,00;0.00;Apartamento, 0.00 de área total, 53.45 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555526353182
 8787705862821 ;SP ;AMERICANA ;FAZENDA SAO DOMINGOS ;AVENIDA SAO JERONIMO, N. 2750, Apto 104, BL 27 ;175.990,64;142.000,00;0.00;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705862821
 10167291 ;SP ;AMERICO BRASILIENSE ;JARDIM SAO JOSE ;AVENIDA JULIO CORREIA ARRUDA, N. 512, LT 3, QD 41 ;593.474,21;572.188,06;0.00;Comercial, 0.00 de área total, 252.34 de área privativa, 312.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10167291
 10006530 ;SP ;AMERICO BRASILIENSE ;CENTRO ;RUA EMILIA GALLI, N. 433, CENTRO - NO LOCAL 435 ;380.000,00;255.000,00;0.00;Casa, 0.00 de área total, 88.20 de área privativa, 528.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10006530
 10006529 ;SP ;AMERICO BRASILIENSE ;CENTRO ;RUA EMILIA GALLI, N. 443 ;336.000,00;212.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 480.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10006529
 10006531 ;SP ;AMERICO BRASILIENSE ;CENTRO ;RUA EMILIA GALLI, N. 423 ;366.000,00;185.000,00;0.00;Casa, 0.00 de área total, 100.00 de área privativa, 480.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10006531
 8444413582770 ;SP ;ANDRADINA ;CONJUNTO HABITACIONAL ALVARO GASPARELLI ;RUA JOSE MARTINS RODRIGUES ANTIGA RUA 06, N. 550, LT 39 QD 16 ;132.041,10;233.000,00;43.33;Casa, 0.00 de área total, 40.28 de área privativa, 170.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413582770
 8555539666761 ;SP ;ANDRADINA ;LOTEAMENTO RESIDENCIAL ALTO DOS IPES ;RUA DR CELSO CHARURI, N. 351, CS 080 QD E ;131.224,96;130.000,00;0.00;Casa, 0.00 de área total, 55.05 de área privativa, 140.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555539666761
 8787702895117 ;SP ;ARACATUBA ;JARDIM PAULISTA ;ESTRADA FAUSE CHADE, N. 471, Apto 302, BL 13 BOX 158 ;60.962,00;110.000,00;44.58;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702895117
 8787712634820 ;SP ;ARACATUBA ;UMUARAMA ;AVENIDA UMUARAMA, N. 1456, Apto 401, BL 06 VAGA 80 ;83.566,00;140.000,00;40.31;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787712634820
 8555512209912 ;SP ;ARACATUBA ;AEROPORTO ;VIA AGNALDO FERNANDES, N. SN, CS 406 ;88.320,00;147.200,00;40.00;Casa, 0.00 de área total, 52.47 de área privativa, 80.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555512209912
 8412200006544 ;SP ;ARACATUBA ;CENTRO ;RUA MANOEL JOAQUIM DE SOUZA, N. 236, L 14 QD 07 ;49.800,00;83.000,00;40.00;Casa, 0.00 de área total, 40.28 de área privativa, 170.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8412200006544
 8444404325417 ;SP ;ARACATUBA ;CENTRO ;RUA JOAO FERRARI, N. 40, LT 23 QD P ;64.200,00;107.000,00;40.00;Casa, 0.00 de área total, 40.28 de área privativa, 170.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404325417
 8787702365592 ;SP ;ARACATUBA ;UMUARAMA ;AVENIDA UMUARAMA, N. 2020, Apto 404, BL 13 BOX 284 ;81.000,00;135.000,00;40.00;Apartamento, 0.00 de área total, 44.01 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702365592
 8787704377180 ;SP ;ARACATUBA ;FAZENDA DO ESTADO ;ESTRADA VICINAL FAUSE CHADE, N. 471, Apto 402, BL 22 BOX 274 ;78.000,00;130.000,00;40.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704377180
 8555520924439 ;SP ;ARACATUBA ;SANTA LUZIA ;RUA GOULART, N. 155, Apto 404, BL 01 VAGA 22 ;86.255,20;137.000,00;37.04;Apartamento, 0.00 de área total, 48.91 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555520924439
 8787708066473 ;SP ;ARACATUBA ;PARQUE PAQUERE ;RUA NOVE, N. 34, QD H LT 43 ;87.600,59;125.143,70;30.00;Casa, 0.00 de área total, 49.18 de área privativa, 140.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708066473
 8787708165560 ;SP ;ARACATUBA ;PARQUE PAQUERE ;RUA DEZ, N. 98, QD I LT 36 ;89.600,00;128.000,00;30.00;Casa, 0.00 de área total, 49.18 de área privativa, 140.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708165560
 8787703836874 ;SP ;ARACATUBA ;VILA MENDONCA ;ESTRADA FAUSE CHADE, N. 471, Apto 304, BL 21 ;98.000,00;140.000,00;30.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703836874
 8787707489427 ;SP ;ARACATUBA ;VILA MENDONCA ;ESTRADA VICINAL FAUSE CHADE, N. 399, Apto 101, BL 11 ;96.600,00;138.000,00;30.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707489427
 8787708299818 ;SP ;ARACATUBA ;VILA MENDONCA ;ESTRADA VICINAL FAUSE CHADE, N. 399, Apto 301, BL 06 ;98.000,00;140.000,00;30.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708299818
 8787704687104 ;SP ;ARACATUBA ;AVIACAO ;ESTRADA FAUSE CHADE, N. 471, Apto 104, BLOCO 01 ;98.000,00;140.000,00;30.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704687104
 8787707854729 ;SP ;ARACATUBA ;MORADA DOS NOBRES ;TRAVESSA ERNESTO NAZARET, N. 70, Apto 104, BL 09 ;102.122,08;145.888,68;30.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707854729
 8787704299015 ;SP ;ARACATUBA ;FAZENDA DO ESTADO ;RUA ESTRADA VICINAL FAUSE CHADE, N. 471, Apto 301, BLOCO 19 ;94.500,00;135.000,00;30.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704299015
 8787704376834 ;SP ;ARACATUBA ;SANTA LUZIA ;RUA ESTRADA VICINAL FAUSE CHADE, N. 471, Apto 406, BLOCO 06 ;91.000,00;130.000,00;30.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704376834
 8787709831904 ;SP ;ARACATUBA ;JARDIM PAULISTA ;ESTRADA VICINAL FAUSE CHADE, N. 399, Apto 301, BL 15 ;106.300,58;135.000,00;21.26;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709831904
